constant, lambda, clicks, CTR, spend, CPM, CPC
65,4e-07,58,0.065%,6250,70.22550815177699,107.75862068965517
65,5e-07,57,0.061%,6250,66.4088233419045,109.64912280701755
65,6e-07,56,0.057%,6250,63.68777704183014,111.60714285714286
65,7e-07,57,0.056%,6250,60.927462200602456,109.64912280701755
65,8e-07,62,0.058%,6250,58.070930156930885,100.80645161290323
65,9e-07,62,0.055%,6250,55.72794065197232,100.80645161290323
65,1e-06,62,0.053%,6250,53.87095105931839,100.80645161290323
65,1.1e-06,67,0.056%,6250,52.51041806694448,93.28358208955224
65,1.2e-06,68,0.056%,6250,51.39844900040296,91.91176470588235
65,1.2999999999999998e-06,70,0.056%,6250,50.22581526543339,89.28571428571429
65,1.4e-06,74,0.058%,6250,49.28711122326667,84.45945945945945
65,1.5e-06,75,0.058%,6250,48.52296106517604,83.33333333333333
65,1.6e-06,76,0.058%,6250,47.79493297238599,82.23684210526316
65,1.6999999999999998e-06,77,0.058%,6250,47.12428748077329,81.16883116883118
65,1.8e-06,77,0.058%,6250,46.69406051550243,81.16883116883118
65,1.9e-06,80,0.059%,6250,46.19535089988543,78.125
65,2e-06,81,0.059%,6250,45.74531933892524,77.1604938271605
65,2.1e-06,86,0.061%,6250,44.64764081865914,72.67441860465117
65,2.2e-06,85,0.060%,6250,43.75739499975496,73.52941176470588
65,2.3e-06,86,0.058%,6250,41.93617649426984,72.67441860465117
65,2.4e-06,89,0.059%,6250,41.55640367558079,70.2247191011236
65,2.4999999999999998e-06,81,0.051%,6250,39.59605686627303,77.1604938271605
65,2.5999999999999997e-06,86,0.054%,6080096,38463.60565304857,70698.79069767441
65,2.7e-06,85,0.055%,5847737,37845.26621666225,68796.90588235293
65,2.8e-06,68,0.051%,4481647,33381.60217496555,65906.57352941176
65,2.8999999999999998e-06,68,0.055%,3950709,31861.58424465305,58098.66176470588
70,1e-07,51,0.064%,6250,78.41808760241402,122.54901960784314
70,2e-07,51,0.064%,6250,78.41808760241402,122.54901960784314
70,3e-07,53,0.064%,6250,75.99615763427,117.9245283018868
70,4e-07,57,0.065%,6250,71.53894580209466,109.64912280701755
70,5e-07,59,0.063%,6250,66.94229039030033,105.9322033898305
70,6e-07,56,0.058%,6250,64.2825552572845,111.60714285714286
70,7e-07,55,0.054%,6250,61.655930314001324,113.63636363636364
