constant, lambda, clicks, CTR, spend, CPM, CPC
39,4.4e-06,44,0.045%,2354.075,24230.844449934124,53501.704545454544
39,4.5e-06,43,0.044%,2332.743,24115.52536906091,54249.83720930233
39,4.6e-06,42,0.044%,2256.155,23748.25005526141,53717.97619047619
39,4.7e-06,42,0.044%,2248.21,23695.54906775999,53528.80952380953
39,4.8e-06,41,0.044%,2185.157,23383.41769307323,53296.51219512195
39,4.9e-06,41,0.044%,2175.987,23325.976030701284,53072.85365853659
40,2e-06,79,0.055%,6250.0,43841.18967452301,79113.92405063291
40,2.1e-06,79,0.055%,6250.0,43461.027627306044,79113.92405063291
40,2.2e-06,80,0.054%,6250.0,41956.44585268924,78125.0
40,2.3e-06,78,0.050%,6250.0,40282.81760584713,80128.20512820513
40,2.4e-06,74,0.047%,6250.0,39788.13613272049,84459.45945945945
40,2.4999999999999998e-06,74,0.047%,6250.0,39418.99554092323,84459.45945945945
40,2.5999999999999997e-06,80,0.049%,6250.0,38312.53218252704,78125.0
40,2.7e-06,77,0.048%,6123.739,37825.37447110781,79529.07792207792
40,2.8e-06,65,0.043%,5270.716,35242.42424242424,81087.93846153846
40,2.8999999999999998e-06,62,0.043%,4856.094,33848.63207053985,78324.09677419355
40,3e-06,60,0.043%,4543.704,32922.52847578472,75728.4
40,3.1e-06,60,0.044%,4458.042,32632.872661259626,74300.7
40,3.2e-06,60,0.045%,4328.968,32182.764363030805,72149.46666666666
40,3.2999999999999997e-06,58,0.045%,4029.84,31130.956059576045,69480.0
40,3.3999999999999996e-06,58,0.046%,3838.893,30473.451081563802,66187.81034482758
40,3.5e-06,58,0.049%,3465.877,29191.249052471994,59756.5
40,3.6e-06,58,0.049%,3424.2,29006.35324015248,59037.93103448276
40,3.6999999999999997e-06,56,0.049%,3216.216,28189.671493180944,57432.42857142857
40,3.8e-06,52,0.046%,3137.125,27869.94838446026,60329.32692307692
40,3.9e-06,49,0.045%,2969.663,27125.164413591523,60605.36734693877
40,4e-06,46,0.044%,2681.647,25837.238654976394,58296.67391304348
40,4.1e-06,45,0.044%,2594.529,25429.328916288505,57656.2
40,4.2e-06,44,0.044%,2522.299,25086.519334818586,57324.97727272727
40,4.2999999999999995e-06,44,0.044%,2477.88,24879.31242218563,56315.454545454544
40,4.4e-06,44,0.045%,2392.013,24436.223030402092,54363.931818181816
40,4.5e-06,43,0.044%,2338.128,24160.95398509915,54375.06976744186
40,4.6e-06,43,0.044%,2332.81,24126.69355672769,54251.395348837206
40,4.7e-06,42,0.044%,2257.809,23762.40843647386,53757.357142857145
40,4.8e-06,41,0.044%,2223.955,23598.342564886145,54242.80487804878
40,4.9e-06,41,0.044%,2187.369,23403.081367356765,53350.46341463415
41,2e-06,79,0.056%,6250.0,44118.78895689065,79113.92405063291
41,2.1e-06,79,0.055%,6250.0,43659.276024421255,79113.92405063291
41,2.2e-06,81,0.055%,6250.0,42091.51031073637,77160.49382716049
41,2.3e-06,81,0.054%,6250.0,41751.56150840042,77160.49382716049
41,2.4e-06,74,0.047%,6250.0,39925.89753417657,84459.45945945945
41,2.4999999999999998e-06,73,0.046%,6250.0,39687.83139339214,85616.43835616438
41,2.5999999999999997e-06,74,0.046%,6250.0,39146.66533046049,84459.45945945945
41,2.7e-06,80,0.049%,6250.0,38263.27582618065,78125.0
41,2.8e-06,77,0.048%,6116.705,37811.354462227,79437.72727272728
41,2.8999999999999998e-06,62,0.043%,4915.871,34050.502181893746,79288.24193548386
41,3e-06,62,0.043%,4837.771,33795.11701012923,78028.56451612903
41,3.1e-06,60,0.044%,4515.878,32838.450239241414,75264.63333333333
41,3.2e-06,60,0.044%,4415.636,32499.933758261817,73593.93333333333
41,3.2999999999999997e-06,60,0.045%,4293.484,32071.081763449216,71558.06666666667
41,3.3999999999999996e-06,58,0.046%,3912.336,30733.197172034565,67454.06896551725
41,3.5e-06,58,0.046%,3803.854,30350.463971403722,65583.68965517242
41,3.6e-06,58,0.049%,3466.941,29198.980923906176,59774.84482758621
